app_proto,network_port,network_proto,proto,network_description,network_reference,network_known_unauthorized_use,network_notes
UNDEFINED,81,,,Unassigned,,,
xfer,82,tcp,6,XFER Utility,,,
xfer,82,udp,17,XFER Utility,,,
mit-ml-dev,83,tcp,6,MIT ML Device,,,
mit-ml-dev,83,udp,17,MIT ML Device,,,
ctf,84,tcp,6,Common Trace Facility,,,
ctf,84,udp,17,Common Trace Facility,,,
mit-ml-dev,85,tcp,6,MIT ML Device,,,
mit-ml-dev,85,udp,17,MIT ML Device,,,
mfcobol,86,tcp,6,Micro Focus Cobol,,,
mfcobol,86,udp,17,Micro Focus Cobol,,,
UNDEFINED,87,tcp,6,any private terminal link,,,
UNDEFINED,87,udp,17,any private terminal link,,,
kerberos,88,tcp,6,Kerberos,,,
kerberos,88,udp,17,Kerberos,,,
su-mit-tg,89,tcp,6,SU/MIT Telnet Gateway,,,
su-mit-tg,89,udp,17,SU/MIT Telnet Gateway,,,
dnsix,90,tcp,6,DNSIX Securit Attribute Token Map,,PORT 90 also being used unofficially by Pointcast,
dnsix,90,udp,17,DNSIX Securit Attribute Token Map,,PORT 90 also being used unofficially by Pointcast,
mit-dov,91,tcp,6,MIT Dover Spooler,,,
mit-dov,91,udp,17,MIT Dover Spooler,,,
npp,92,tcp,6,Network Printing Protocol,,,
npp,92,udp,17,Network Printing Protocol,,,
dcp,93,tcp,6,Device Control Protocol,,,
dcp,93,udp,17,Device Control Protocol,,,
objcall,94,tcp,6,Tivoli Object Dispatcher,,,
objcall,94,udp,17,Tivoli Object Dispatcher,,,
supdup,95,tcp,6,SUPDUP,,,
supdup,95,udp,17,SUPDUP,,,
dixie,96,tcp,6,DIXIE Protocol Specification,,,
dixie,96,udp,17,DIXIE Protocol Specification,,,
swift-rvf,97,tcp,6,Swift Remote Virtural File Protocol,,,
swift-rvf,97,udp,17,Swift Remote Virtural File Protocol,,,
tacnews,98,tcp,6,TAC News,,,
tacnews,98,udp,17,TAC News,,,
metagram,99,tcp,6,Metagram Relay,,,
metagram,99,udp,17,Metagram Relay,,,
UNDEFINED,100,,,Unassigned,,Known Unauthorized Use on 100,
hostname,101,tcp,6,NIC Host Name Server,,,
hostname,101,udp,17,NIC Host Name Server,,,
iso-tsap,102,tcp,6,ISO-TSAP Class 0,,,
iso-tsap,102,udp,17,ISO-TSAP Class 0,,,
gppitnp,103,tcp,6,Genesis Point-to-Point Trans Net,,,
gppitnp,103,udp,17,Genesis Point-to-Point Trans Net,,,
acr-nema,104,tcp,6,ACR-NEMA Digital Imag. & Comm. 300,,,
acr-nema,104,udp,17,ACR-NEMA Digital Imag. & Comm. 300,,,
cso,105,tcp,6,CCSO name server protocol,,,
cso,105,udp,17,CCSO name server protocol,,,
csnet-ns,105,tcp,6,Mailbox Name Nameserver,,,
csnet-ns,105,udp,17,Mailbox Name Nameserver,,,
3com-tsmux,106,tcp,6,3COM-TSMUX,,Known Unauthorized Use on 106,
3com-tsmux,106,udp,17,3COM-TSMUX,,Known Unauthorized Use on 106,
rtelnet,107,tcp,6,Remote Telnet Service,,,
rtelnet,107,udp,17,Remote Telnet Service,,,
snagas,108,tcp,6,SNA Gateway Access Server,,,
snagas,108,udp,17,SNA Gateway Access Server,,,
pop2,109,tcp,6,Post Office Protocol - Version 2,,,
pop2,109,udp,17,Post Office Protocol - Version 2,,,
pop3,110,tcp,6,Post Office Protocol - Version 3,,,
pop3,110,udp,17,Post Office Protocol - Version 3,,,
sunrpc,111,tcp,6,SUN Remote Procedure Call,,,
sunrpc,111,udp,17,SUN Remote Procedure Call,,,
mcidas,112,tcp,6,McIDAS Data Transmission Protocol,,,
mcidas,112,udp,17,McIDAS Data Transmission Protocol,,,
ident,113,tcp,6,,,,
auth,113,tcp,6,Authentication Service,,,
auth,113,udp,17,Authentication Service,,,
UNDEFINED,114,,,unassigned,,,Deprecated June 2004
sftp,115,tcp,6,Simple File Transfer Protocol,,,
sftp,115,udp,17,Simple File Transfer Protocol,,,
ansanotify,116,tcp,6,ANSA REX Notify,,,
ansanotify,116,udp,17,ANSA REX Notify,,,
uucp-path,117,tcp,6,UUCP Path Service,,,
uucp-path,117,udp,17,UUCP Path Service,,,
sqlserv,118,tcp,6,SQL Services,,,
sqlserv,118,udp,17,SQL Services,,,
